id,UserGroup,Discipline,Age,textResponse
19992351,Undergraduate: Third year,Education,18 - 22,"I love the library!! If i could go back in time and spend more time here freshman year I  belive it would show ppostivity in my grades and  my mental health.
 The reserved stud rooms are the best. You can't others, three enough space for a team effort, there technology and whiteboards, you could not ask for anymore !!! I also love the idea that you can also pick the middle shared space if it was last minute or if you work best with others around you. A huge thing we learn about as education majors is that everyone learns differently, fgcu library dose an amazing job at creating diverse opportunities to study the way that is most effective to the individual. The staff is amazing and so helpful, you can tell they hire students who deserve the job and who are good at it. There are snack and caffeine options all around, as well as beautiful windows to look at and gain inspiration. The library is in my opinion, the best place to be. 
"
19992356,Undergraduate: Third year,Education,18 - 22,I really enjoy going to the library and logging study hours for my sorority. I like that the library allows greek life to keeps study hour binders by the Starbucks. I am my sorority academic chair and am in charge of booking study rooms everyday for our members to study in. The website to books study rooms is very easy to use and navigate. My name is Jacqueline Huston 
19992368,Undergraduate: Third year,Education,18 - 22,"I really enjoyed taking 4310 with Dr.Byrne and having the reading list option for the textbook. It made the textbook easily accessible, easy to transport and most importantly affordable. 
"
19986696,Undergraduate: First year,Business / Golf / Resort & Hospitality,18 - 22,"I think the library offer great services. The internet is not the best sometimes which I think is hard to control. I’m not sure but occasionally I do wish that you offered paper as a resource, for scratch notes instead of me having to find an open whiteboard and renting out markers."
19992967,Undergraduate: Fourth year,Psychology,23 - 30,"Improve service attitude, carry out personalized and humanized characteristic services    "
19992966,Undergraduate: Fourth year,Humanities / English / History / Music / Philosophy,23 - 30,"Improve the information service level of staff, and better serve the general readers     "
19988652,Faculty: Instructor,Business / Golf / Resort & Hospitality,46 - 65,"In my opinion, we have a great library. Our Business Librarian is brilliant (Regina Beard), and the facilities are better than one would expect for a regional institution such as FGCU. I especially like the rotating art exhibits on the third floor, and library events are reason enough to come to campus, even though I'm not scheduled. I really can't think of any substantive recommendations for improvement. BTW, my email is "
19986776,Undergraduate: Fourth year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,It’s very great I just wished that the Wi-Fi works. 
19987586,Undergraduate: Second year,Psychology,18 - 22,I like the library for always being there for support and help. They are always there for support
19987599,Undergraduate: Fourth year,Business / Golf / Resort & Hospitality,18 - 22,"
The library is the only fgcu department that has it toghether "
19985522,Undergraduate: Second year,Business / Golf / Resort & Hospitality,18 - 22,"

I love the library, yall rock🤘🏽"
19988720,Undergraduate: First year,Psychology,18 - 22,"
I love the library at FGCU. Everyone has been friendly and helpful with everything. Everything has been more than 50% helpful! Go to fgcu library!!"
19993234,Library Staff: Library employee,Humanities / English / History / Music / Philosophy,23 - 30,I miss when the private study booths (the ones with the wraparound walls) were on the 4th floor. It was great for quiet studying and very cozy. 
19987787,Undergraduate: Second year,Performing & Fine Arts,18 - 22," The library independent services are over all easy to use and intuitive, but visual images added to instructions may help further for people unfamiliar with the system. I do wish some books that are considered textual required for class were more available, like Jekyll and Hyde which it seems I could only check out for an hour at a time and is a book I would like to read for fun and it is my main point of contention. The free book carts are always fun and engaging to see, however I do believe they could be promoted better with either a little sign with a weekly theme or a post online (then again, I don't know if there is a library Instagram or not at the moment). The events held sometimes are cute, I would like to see more to promote engaging with reading—it seems like the main event is the blind date with Valentines day and more events like that would be cute, maybe horror showcases around Halloween, something to celebrate the Chinese new year theme might also be cool, but that's just me brainstorming. I also would like another food option than Starbucks in the library but that is likely not in the powers of the library services and is up to someone else. "
19995225,Undergraduate: Fifth year and above,Other,23 - 30,"My experience at the FGCU library hasn't met my expectations. I have been going to FGCU for five years now and there has not been many updates to the technology available. There's a lack of resources and space, making it hard to study effectively. Technological issues also add to the problem. To improve, the library should try to allocate more rooms for studying available and create more study areas. They also need to fix their technology. These changes would help all students have a better experience at the library.

"
19992284,Graduate: Doctoral,Health Professions / Social Work / Nursing / Counseling,31 - 45,"My only real concerns about the library relate to comfort. It is SO COLD in library East that by 10am it is almost unusable. Please turn off the A/C! Also, the study rooms, tables, and carpets are very dirty "
19992965,Undergraduate: Third year,Engineering / Computer Science,18 - 22, Enhance publicity and reader training of e-resources
19992698,Faculty: Instructor,Economics,31 - 45,"Opening time and frequency, fully consider the needs of readers, reasonable adjustment of opening time, and frequency.    
"
19987604,Undergraduate: Fourth year,Humanities / English / History / Music / Philosophy,23 - 30,"Retaining and maintaining the physcial collection is I think the most important to me, however I know that it is based on how often they are utilized. 
The research librarians are amazing and always sooo helpful! 
Longer hours during breaks and especially during midterms and finals would be desired, although that would put a staffing strain on it.
"
19987577,Undergraduate: First year,Education,18 - 22,"I have a few concerns I'd like to address about the library. The first is that although the temperature outside is often very warm, usually raging from upper 70-90s  the temperature inside is often much colder and feels between upper 60s to lower 70s, because of this issue, I often find myself bringing a jacket even though Iit is unesscary to wear outside. This can prove a great inconvenience because now I find myself carrying extra weight from class to class.  If there is not an easy way to increase the tempature in the library an additional resource you could implement is by providing blankets that students can grab and use while studying, this could increase the warmth of individual students and would not cause a hefty increase on the AC or heating bill. The implementation of the blankets could also further strengthen a comfy and welcoming environment. By having a welcoming environment it may invite and incentivise more students to use the libraries resources and increase the amount of people studying. Secondly, I feel like there should be a diversity of furniture in the library. Most of the chairs in the library are exactly the same model and can be frustrating if you don't like the desired setup and may prevent students from entering the library. Personally, I don't like the chairs that lean back in the library. When I use those types of chairs I feel that I have a lack of support and whenever I lean back I feel nautious, as a result I have to sit at the very edge of the seat making the set up very uncomfortable and aggregivating as I've often fallen off my chair as a result. Last semester I found myself ignoring the library because my mindset was that the library was a cold and uncomfortable place to study. This assumption led me to miss out on many of the wonderful resources the library offers, such as the tutoring center, study rooms, the writing lab, and the various devices that you can check out. Another thing, I want to note about the various furniture in the library is it's often not ergonomic for long studying sessions. This is because several of the setups involve a chair that's a shorter than the table forcing the student to crouch down or hunch in order to access out computer or other homework. One of the reasons why this is bad is this can create a habit of reinforcing bad posture. The chairs and tables should all be at even height or the table should be taller than the chair, so that it reinforces proper posture such as a straight back. Study rooms are a great resource to have on campus. There is a shortage of these study rooms causing many students to stay awake until midnight to reserve a study room. Additionally, many of these study rooms state that they are filled on the booking site, however these study rooms often sit empty throughout the majority of the day. This is because orginzations or groups can book these rooms in advance and end up not using the rooms. Although I don't have much experience with the booking site, I believe there should be a way to notify the person or orginzation a couple days in advance and give them the option to keep their booking or cancel it so that another person can book that room. This could help so that many of the study rooms don't sit empty and allow for more students to have a chance to use this great resource. Another thing you could do is implement a sign in system. This could inolve the party that wants to use the room to sign in at the library front desk and get a key card to unlock one of the study rooms. This could allow students to be notified if an occupancy opens up and allow students to reserve the room, which could give more students access to this resource. Lastly, I like the system of being able to check out materials such as calculators or chargers this system is very useful but one of the things I've noticed is that although these materials have a time limit on them, there is no way to keep track of that time. You could checkout a phone charger with a limit of 3hrs but than if you don't set a timer for 3hrs there is no way to know how much time has passed and you could keep that charger for several hours. Although this may be beneficial to that specific student it limits the amount of people who can use this charger as severall of the materials may not be returned to the desk for checkout. "
19992695,Undergraduate: Second year,Business / Golf / Resort & Hospitality,23 - 30,"Strengthen the construction of resources, enrich the collection, optimize the structure of the collection, and establish the system of readers' information enlightenment   
"
19987127,Undergraduate: Second year,Business / Golf / Resort & Hospitality,18 - 22,The area is very nice to study in.
19992411,Undergraduate: First year,Business / Golf / Resort & Hospitality,18 - 22,"The FGCU library is a really good resource. I especially love the cubbies on the second floor that overlook the middle area. I often use the study rooms and appreciate their accessibility. I wish there were more of the booths (individual blue and green ones) on the third and fourth floor. One of my only complaints is that I wish we could rent books for more time, or have a way to renew my rental without going to the front desk. I dont know if it is because you do not want people to take them to classes, but it gets annoying when I am using a book to study and have to go down three floors to have them know I am still using it. I also wish there was the opportunity to have phone chargers with USB plugs so I can charge my phone and my computer in the little booths (that only have one outlet), but with the USBC chargers I cannot. I would also suggest a more in depth, or picture tutorial of how to use the printers because they were quite confusing to get a hang of and I had to have help from multiple peers. My final suggestion would be possibly considering an earlier opening time. I had a 7:30 biology class, and I love to study before class for tests. Since it was an earlier class, I would have to go to the Starbucks off campus to get the study environment that I sought after. I appreciate all the accessibility of chargers, books, and printers that the library offers. It is a very cozy and helpful environment that I enjoy spending my time in and it has definitely been a big factor in me getting all my work done. 

"
19988102,Undergraduate: Fourth year,Communications / Journalism,18 - 22,"The FGCU Library is one of the best spots on campus for students to grow and study as a whole. The staff and students and employees in the library are very respectful, understanding and knowledgeable. The staff know how to help every and any student with any questions regarding the library and the staff know how to make sure students secure whatever type of equipment they are looking for as a whole. 

The library is an ideal place to study, do homework and do so much more in a quiet and more relaxed place on campus. I usually will study or do homework in the library two to three times a week because of how quiet the silent floors are as a whole. 

One overall area of improvement in the library would be the computers. The computers are very outdated and can use some upgrades to newer computers in order to make sure students have access to certain websites, platforms and networks as a whole. Sometimes I have tried to use the computer to access my software engineering homework sites and have had no luck. Having newer or more advanced computers can be super beneficial in order to make sure all students of all majors can have access to the computers as a whole. 

Another  area of improvement in the library would be increasing loan rentals for books. If calculators are a 24 hour rental then book rentals should also be 24 hours in my opinion. I have loaned books from the library and have had to hustle to get my work done due to the short loan rental period for textbooks. Increasing the loan rental period for books and other technologies in order to make sure that all students will have ample amounts of time in order to use these equipments is fair and beneficial to all.

 One final area of improvement would be securing more TI-85 calculators. Having more of these calculators is beneficial to STATS students and students in statistics courses in order to make sure they will be able to have calculators for class and also for exams as well. There were times this year where I would try to rent a calculator and wouldn’t be able to as they were all gone. Having more calculators is super beneficial as a whole. 

Overall the FGCU Library is one of the best spots on campus to get work done and I have no doubt that students will continue to utilize the library and all the resources offered for years to come.


"
19994325,Undergraduate: Fourth year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,"The information for some classes I need to find from Google, Bing, or other web sources requires a subscription to access the database (such as Elsiever’s Science Direct database). FGCU log-in lets me access the database under the university, which I am assuming is sponsored by the FGCU library.

"
19988786,Undergraduate: First year,Criminal Justice / Legal Studies / Forensics,18 - 22,"The library has been incredibly helpful when it comes to my academics. Sometimes I can find some of the employees to be blank faced and tired, I also understand that some of them are students and that just as I do, they have classes, midterms and finals. I can’t really blame the employees for being tired and uninterested when they are probably thinking of the three tests they have this week. When it comes to resources, the library has always been helpful with printing, computers, IT or even just a calm place to work. I have to say that I have had trouble with ink in the printers so to have those checked more often would be nice but that’s such a minor issue. When it comes to computers, the library always comes in clutch when I for got mine in my dorm, though the WiFi can be a little slow sometimes. Eve in the study rooms, it can take any of my devices 5 or more minutes to load the screen, not always but enough times to be an issue. Though, except for those few things I haven’t had an issue and the library has been super helpful. It’s especially helpful when I have research projects and essays cause I can go on the library website and see if they have certain films or books that’s I need. It definitely was helpful this semester. 
"
19987587,Undergraduate: Second year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,The library has great resources to reach with easy access. The way it is set up is well put and easy to understand. The way the staff treats the students is also helpful because they work with you until you solve your problem.
19992354,Undergraduate: Third year,Education,18 - 22,"the library is always clean and has a welcoming nice atmosphere when i walk in. i go the library often to print stuff i need for classes and my internship. i wish the library had more seating and was more quiet on the lower level. i also have a roommate who works at the library and she enjoys it and is contributing to good customer service. i have a teacher, mrs. byrne who gave us the textbook online for free for RED 4310 and it has helped me with financing my money for textbooks. i appreciate her very much and the library. thank you! "
19993881,Undergraduate: Second year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,"The library is truly a haven for productivity and learning! Every time I am there, I'm greeted by a clean environment that's conducive to focus and concentration. The staff members are not only friendly but incredibly helpful; they go above and beyond to ensure that every student and visitor feels supported and valued. One of the things I appreciate most about the library is how well-organized everything is. The resources are neatly arranged and easy to locate, making research and studying a breeze. Whether I'm searching for a specific book or searching the fgcu databases, I can always count on the library to provide reliable resources. I find myself spending countless hours immersed in my work at the library. It's amazing how much I can accomplish in such a welcoming space! Whether I'm tackling assignments, delving into research projects, or simply seeking inspiration, the library never fails to deliver.
 In essence, the library is a hub of knowledge and support where I can thrive academically. I'm incredibly grateful for its existence and the positive impact it has on my academic journey."
19988712,Undergraduate: Fourth year,Education,18 - 22,"The library provides students with a place to complete assignments, homework, study for exams, and work collaboratively with peers. I feel that the space available for students to use for these activities are plentiful and accessible. Working in the library allows many students to be productive outside of their courses. When coming to FGCU I lived on campus for the first 2 years. I found that working in the library made me feel less alone and more comfortable at FGCU. The library also allowed for students to work together on coursework and meet about pending assignments. I found that the employees were helpful and knowledgeable about the resources available in the library as well as some on campus resources. I also enjoyed that the library was open at odd hours as it is accessible for those with busy schedules. A recommendation to create a better experience for everyone would be to add more seating with desk tops for using laptops. Some of the seating is comfortable and homey but hard to use for school work because there is not a desk top to place a laptop on. Another recommendation would be to create google documents for sign ups for the conference room style work spaces in the library building. I found that it was difficult to find a place to work in a group at times. If there was an easily accessible document online, it would have been more convenient to work in groups and find a place to work collaboratively for courses. All in all the library is a great resource for students at FGCU. If some recommendations are taken into account and they begin to implement some improvements I feel that more students would use the library and the resources it provides.

"
19987875,Graduate: Masters,Education,18 - 22,The library services always helps me in person when I need it but I mainly use the online database which is amazing! 
19988036,Undergraduate: Second year,Education,18 - 22,"The library services at FGCU are amazing! The library is so welcoming and inviting, and i come almost daily to work on all my projects. I love the seating options and the study rooms which help me to focus when I really need to. The computer there have helped me out countless time when my computer was being fixed, and I would have failed assignments without them. Also, as an education major, I use the printer weekly to print out worksheets for my student teaching, and the library has been a life saver for me in that regard. The FGCU library is definitely one of the places that I’ll miss most when I graduate! 

"
19992372,Undergraduate: Third year,Education,18 - 22,"The library services being provided to me at FGCU have overall been amazing. I am able to quickly come In and out of the library with no issues. The staff is very helpful in guiding me as well as answering my questions. Also going into the library is the only space where I feel I can focus on doing school work because it is quiet and neat space to work. But I would say the most helpful resource that the library has provided me in providing me with the online textbook for my course RED 4310. Which I am very appreciative of as it has saved me money and it is easy to navigate. Thank you for providing us with these services!

"
19987132,Undergraduate: First year,Math / Science / Biotech / Biology / Marine Science / Environmental Science,18 - 22,"The only thing i can really comment on is the Wifi. The Wifi can sometimes prohibit me from doing my work, but the staff is great honestly. "
19996131,Undergraduate: Second year,Business / Golf / Resort & Hospitality,18 - 22,"The renovation on the first floor completelty ruined the library. There are no spaces in the entire library now with individual desks and desktop computers, it was perfect before and now its just two rows of computers all lined up next to each other. The desk spaces that were there before with walls between each computer are what made the library worth going to. Hours are also terrible, the fact that the library closes at 6pm some days and is not open 24 hours, especially during finals week, is ridiculous. 

"
19992697,Faculty: Associate Professor,Education,31 - 45,"With the development of technology, libraries should constantly improve technical facilities, such as electronic book download, online search and other services to meet the diversified needs of readers, improve the convenience and efficiency of services   
"
19985517,Undergraduate: First year,Engineering / Computer Science,18 - 22,"
I really enjoy the spaces that are available in the library for studying in groups. It promotes collaboration and this is very important to develop for my engineering discipline. "
